"filename", "language", "XML", "C#", "Markdown", "JSON", "C++", "PowerShell", "Log", "Batch", "comment", "blank", "total"
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Diagnostics.Abstractions.xml", "XML", 174, 0, 0, 0, 0, 0, 0, 0, 0, 1, 175
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Diagnostics.HealthChecks.xml", "XML", 216, 0, 0, 0, 0, 0, 0, 0, 0, 1, 217
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Diagnostics.xml", "XML", 797, 0, 0, 0, 0, 0, 0, 0, 0, 1, 798
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.HostFiltering.xml", "XML", 88, 0, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Hosting.Abstractions.xml", "XML", 378, 0, 0, 0, 0, 0, 0, 0, 0, 1, 379
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Hosting.Server.Abstractions.xml", "XML", 95, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Hosting.xml", "XML", 457, 0, 0, 0, 0, 0, 0, 0, 0, 1, 458
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Html.Abstractions.xml", "XML", 285, 0, 0, 0, 0, 0, 0, 0, 0, 1, 286
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Http.Abstractions.xml", "XML", 1931, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1933
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Http.Connections.Common.xml", "XML", 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Http.Connections.xml", "XML", 403, 0, 0, 0, 0, 0, 0, 0, 0, 1, 404
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Http.Extensions.xml", "XML", 177, 0, 0, 0, 0, 0, 0, 0, 0, 1, 178
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Http.Features.xml", "XML", 1041, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1042
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Http.xml", "XML", 633, 0, 0, 0, 0, 0, 0, 0, 0, 1, 634
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.HttpOverrides.xml", "XML", 231, 0, 0, 0, 0, 0, 0, 0, 0, 1, 232
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.HttpsPolicy.xml", "XML", 168, 0, 0, 0, 0, 0, 0, 0, 0, 1, 169
"c:\Users\v.kruglyakov\Desktop\Projects\Gabiac\References\packages\microsoft.aspnetcore.app.ref\3.1.10\ref\netcoreapp3.1\Microsoft.AspNetCore.Identity.xml", "XML", 881, 0, 0, 0, 0, 0, 0, 0, 0, 1, 882
